Name,Kitchens,Delivery cost (PLN),Min order cost (PLN)
Noc i dzień pizza,"Włoska, Dania na lunch, Pizza",7.0,35.0
Makalu Restauracja Indyjska,Indyjska,7.0,80.0
Krowarzywa,"Wegetariańska, Burgery",0.0,30.0
Fabryka Frytek,"Kanapki, Burgery, Przekąski",0.0,30.0
B Town,"Arabska, Curry, Indyjska",0.0,150.0
Qchnia pl.Trzech Krzyży,"Wietnamska, Przekąski, Sałatki",0.0,30.0
Makarun Spaghetti And Salad,"Włoska, Makarony",0.0,30.0
Falla,"Pierogi, Wrapy, Falafel",0.0,30.0
IKAT - kuchnia Uzbecka,"Dania na lunch, Zupy, Międzynarodowa",0.0,30.0
Neko Sushi,Sushi,0.0,130.0
Tadka Restauracja Indyjska,"Zupy, Sałatki, Indyjska",5.0,40.0
Pankejk,"Dania na lunch, Sałatki, Naleśniki",0.0,30.0
Tanuki Sushi,Sushi,0.0,50.0
Sushi Muranów,Sushi,0.0,50.0
Amal Kebab Noc,"Arabska, Kebab",12.0,20.0
West Cury Express,"Wegetariańska, Curry, Indyjska",5.0,45.0
Restauracja Chinkali,"Zupy, Międzynarodowa, Gruzińska",0.0,30.0
Guru,"Sałatki, Curry, Indyjska",0.0,30.0
Wolę Sushi,"Sushi, Japońska, Wegańska",0.0,50.0
Gringo Bar Dobra,"Hiszpańska/Tapas, Meksykańska, Zupy",6.0,26.0
SUSHIPAK,"Sushi, Japońska",0.0,50.0
Brooklyn Restaurant Burgers & Steaks,"Burgery, Amerykańska, Pizza",0.0,40.0
Buena Vista Social Food,"Kanapki, Amerykańska, Zupy",0.0,30.0
Golden Apricot,"Zupy, Gruzińska",0.0,30.0
Zdrowa Krowa,"Burgery, Amerykańska, Sałatki",8.0,40.0
Chiński Ryż,"Chińska, Wołowina, Wieprzowina",10.0,50.0
Papa John's,"Amerykańska, Pizza, Drób",0.0,29.99
Amrit Oriental Food,"Turecka, Gyros, Kebab",1.0,21.0
Spicy Kebab & Grill,"Arabska, Falafel, Kebab",5.0,30.0
Caviar Sushi,Sushi,5.0,30.0
Biryani Hut - kuchnia południowoindyjska,Indyjska,7.0,39.0
Wypas Burger,"Burgery, Amerykańska, Sałatki",9.0,40.0
Buddha,"Wegetariańska, Dania na lunch, Indyjska",0.0,30.0
Shizu 24,"Chińska, Sushi, Dania na lunch",5.0,40.0
Pierogi na Chmielnej,"Polska, Pierogi, Gruzińska",0.0,30.0
Nadziane,"Polska, Pierogi",0.0,30.0
Curry Leaves Hala Koszyki,"Międzynarodowa, Curry, Indyjska",0.0,39.0
Pho Hung Thien,"Chińska, Tajska, Wietnamska",0.0,30.0
Cziken Boss Noc,"Burgery, Amerykańska, Sałatki",10.0,35.0
Kura i Frytura,"Burgery, Amerykańska, Sałatki",10.0,35.0
Zapiexy Luxusowe,"Polska, Dania na lunch, Przekąski",0.0,30.0
Pizza po Zmroku,"Włoska, Makarony, Pizza",7.0,30.0
Chłopskie Jadło,"Polska, Dania na lunch, Pierogi",0.0,30.0
Hope Kebabs,Kebab,5.0,20.0
Saito Sushi,"Sushi, Japońska, Dania na lunch",0.0,150.0
FoodPorn Bar Nocą,"Burgery, Pizza, Sałatki",10.0,24.0
Pho Ever Yum,"Chińska, Tajska, Kaczka",0.0,30.0
Fresh Roll Sushi,Sushi,0.0,30.0
Chmeli Suneli,Gruzińska,0.0,30.0
Klawa Szama,"Polska, Dania na lunch",9.0,30.0
YaChe Korea,"Wegetariańska, Koreańska, Wieprzowina",0.0,30.0
Burgery Nocą,"Burgery, Amerykańska",8.0,40.0
Burgery Nocą Targówek,"Burgery, Przekąski, Amerykańska",8.0,40.0
Master Sushi Noc,"Sushi, Japońska",8.0,60.0
Legal Cakes,"Przekąski, Naleśniki",0.0,30.0
Green it.,"Dania na lunch, Wrapy, Sałatki",0.0,30.0
Sushi Love,Sushi,5.0,50.0
Enna Pizza,Pizza,6.0,25.0
Curry Girls,"Curry, Indyjska",0.0,30.0
Smak Curry,"Curry, Indyjska",0.0,40.0
Everest Nepal,"Tajska, Dania na lunch, Indyjska",0.0,50.0
Sushi Fit,"Sushi, Ryby, Japońska",0.0,50.0
Wok Deli,"Tajska, Wegetariańska, Owoce morza",5.0,50.0
Guravio food & wine,"Włoska, Makarony, Pizza",0.0,30.0
Naleśnikarnia Wspólny Mianownik,"Desery, Polska, Zupy",0.0,30.0
P&P,"Polska, Pierogi",10.0,40.0
Makaronia,"Włoska, Makarony",4.0,35.0
Centralny Bar Mleczny 24 h,"Polska, Pierogi, Naleśniki",5.0,15.0
Metro Zapiekanki,"Kanapki, Amerykańska",5.0,20.0
Posypane Dom Makaronu,"Włoska, Dania na lunch, Makarony",0.0,30.0
Pho 2,"Wietnamska, Zupy",0.0,30.0
Green it.,"Dania na lunch, Wrapy, Sałatki",5.0,40.0
Restauracja Shahi Curry,"Curry, Indyjska",6.0,40.0
Rudy Pies Sushi,Sushi,0.0,40.0
Mango Vegan Street Food - Koszyki,"Wegańska, Wrapy",0.0,30.0
Mango Vegan Street Food - Dobra,"Wegańska, Wrapy, Bezglutenowa",0.0,30.0
Mango Vegan Street Food - Bracka,"Wegetariańska, Falafel, Kebab",0.0,30.0
Izumi Sushi,"Sushi, Tajska, Dania na lunch",0.0,50.0
